Time,"6"" Moisture","12"" Moisture","24"" Moisture"
2019-07-19T13:07:44.000-05:00,-12.68,-12.2,-18.21
2019-07-19T13:07:49.000-05:00,-12.73,-12.24,-18.27
2019-07-19T13:07:58.000-05:00,-12.68,-12.2,-18.27
2019-07-19T13:08:01.000-05:00,-12.73,-12.2,-18.21
2019-07-19T13:08:03.000-05:00,-12.73,-12.24,-18.27
2019-07-19T13:08:05.000-05:00,-12.73,-12.2,-18.27
2019-07-19T14:19:09.000-05:00,-12.93,-12.68,-18.25
2019-07-19T14:19:11.000-05:00,-12.93,-12.64,-18.25
2019-07-19T14:19:16.000-05:00,-12.93,-12.68,-18.25
2019-07-19T16:37:11.000-05:00,-12.87,-10.5,-16.73
2019-07-19T18:37:54.000-05:00,-12.71,-8.95,-15.54
2019-07-19T20:37:57.000-05:00,-12.36,-7.8,-16.89
2019-07-19T23:03:12.000-05:00,-12.04,-6.95,-18.87
2019-07-20T01:15:23.000-05:00,-11.94,-6.56,-18.9
2019-07-20T03:27:28.000-05:00,-11.88,-6.23,-18.92
2019-07-20T05:39:29.000-05:00,-11.81,-6.08,-18.87
2019-07-20T07:51:30.000-05:00,-11.95,-6.38,-19.09
2019-07-20T10:03:31.000-05:00,-12.33,-6.85,-19.84
2019-07-20T13:15:56.000-05:00,-13.02,-7.67,-21.18
2019-07-20T13:15:58.000-05:00,-13.02,-7.67,-21.25
2019-07-20T13:16:00.000-05:00,-13.02,-7.67,-21.25
2019-07-20T13:16:02.000-05:00,-13.02,-7.67,-21.25
2019-07-20T13:16:04.000-05:00,-13.02,-7.67,-21.25
2019-07-20T13:23:38.000-05:00,-13.04,-7.88,-21.29
2019-07-20T13:23:41.000-05:00,-13.04,-7.88,-21.29
2019-07-20T13:37:45.000-05:00,-13.13,-7.93,-21.36
2019-07-20T14:55:41.000-05:00,-13.25,-7.82,-21.54
2019-07-20T14:55:44.000-05:00,-13.25,-7.82,-21.54
2019-07-20T14:55:46.000-05:00,-13.25,-7.82,-21.54
2019-07-20T14:55:49.000-05:00,-13.25,-7.82,-21.54
2019-07-20T14:55:51.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:56:00.000-05:00,-13.25,-7.82,-21.54
2019-07-20T14:57:38.000-05:00,-13.25,-7.82,-21.54
2019-07-20T14:57:40.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:57:45.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:57:48.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:57:51.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:57:53.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:58:02.000-05:00,-13.25,-8.01,-21.61
2019-07-20T14:59:22.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:59:25.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:59:27.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:59:30.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:59:32.000-05:00,-13.25,-8.01,-21.54
2019-07-20T14:59:35.000-05:00,-13.25,-8.01,-21.54
2019-07-20T15:09:36.000-05:00,-13.25,-8.01,-21.54
2019-07-20T15:09:51.000-05:00,-13.25,-8.01,-21.54
2019-07-20T15:09:53.000-05:00,-13.25,-8.01,-21.54
2019-07-20T15:09:56.000-05:00,-13.25,-8.01,-21.61
2019-07-20T15:09:58.000-05:00,-13.25,-8.01,-21.54
2019-07-20T15:10:01.000-05:00,-13.25,-8.01,-21.61
2019-07-21T12:49:18.000-05:00,-13.4,-8.25,-13.25
2019-07-21T12:49:23.000-05:00,-13.4,-8.07,-13.25
2019-07-21T12:49:25.000-05:00,-13.4,-8.07,-13.25
2019-07-21T12:49:28.000-05:00,-13.4,-8.07,-13.25
2019-07-21T12:49:34.000-05:00,-13.4,-8.07,-13.25
2019-07-21T12:49:43.000-05:00,-13.4,-8.07,-13.25
2019-07-21T12:50:02.000-05:00,-13.4,-8.07,-13.25
2019-07-21T12:51:26.000-05:00,-13.42,-8.1,-13.27
2019-07-21T12:51:32.000-05:00,-13.42,-8.1,-13.27
2019-07-21T12:51:42.000-05:00,-13.42,-8.1,-13.27
2019-07-21T12:51:44.000-05:00,-13.42,-8.1,-13.27
2019-07-21T12:51:46.000-05:00,-13.42,-8.1,-13.27
2019-07-21T12:51:48.000-05:00,-13.42,-8.1,-13.27
2019-07-21T12:55:06.000-05:00,-13.42,-8.1,-13.22
2019-07-21T12:55:08.000-05:00,-13.42,-8.1,-13.22
2019-07-21T12:55:10.000-05:00,-13.42,-8.1,-13.22
2019-07-21T12:55:12.000-05:00,-13.42,-8.1,-13.22
2019-07-21T12:55:14.000-05:00,-13.42,-8.1,-13.22
2019-07-21T12:55:16.000-05:00,-13.42,-8.1,-13.27
2019-07-21T12:59:23.000-05:00,-13.44,-8.12,-13.24
2019-07-21T12:59:25.000-05:00,-13.44,-8.12,-13.24
2019-07-21T12:59:27.000-05:00,-13.44,-8.12,-13.24
2019-07-21T12:59:29.000-05:00,-13.44,-8.12,-13.24
2019-07-21T12:59:31.000-05:00,-13.44,-8.12,-13.24
2019-07-21T12:59:33.000-05:00,-13.44,-8.12,-13.24
